,技能名稱,預設,主手裝備,副手裝備,身體裝備,效果編號,效果類別名稱,屬性名稱,屬性值,屬性追加,消耗MP,射程,類型,連擊,動作時間,詠唱/蓄力時間,屬性值-英文,屬性值-日文,屬性值-簡中
,,,,,,-,list,text,冷卻時間未顯示於畫面，難以測試。,,,,,,,,,,冷却时间未显示于画面，难以测试。
11,自我韜晦,預設/and,空手,無裝備,,-,text,text,習得後獲得阻擋與閃躲的被動強化，並可於EX技能裝備3個鍛晶，這些鍛晶將於發動!S[獅子奮迅]／!S[疾風怒濤]／!S[回復氣功]時使其能力生效。,,,,EX技能,,,,,,习得后获得阻挡与闪躲的被动强化，并可于EX技能装备3个锻晶，这些锻晶将于发动!S[狮子奋迅]／!S[疾风怒涛]／!S[回复气功]时使其能力生效。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,list,text,每個技能只會使3個鍛晶中的2個生效，生效的鍛晶為在EX技能介面中，該技能位置的左右兩者。,,,,,,,,,,每个技能只会使3个锻晶中的2个生效，生效的锻晶为在EX技能介面中，该技能位置的左右两者。
,,,,,,-,list,text,只能裝備![武器鍛晶](紅色)與![通用鍛晶](藍色)，以及他們的![強化鍛晶]。![強化鍛晶]裝備時無須先放置前置鍛晶，可直接裝備。,,,,,,,,,,只能装备![武器锻晶](红色)与![通用锻晶](蓝色)，以及他们的![强化锻晶]。 ![强化锻晶]装备时无须先放置前置锻晶，可直接装备。
,,,,,,-,list,text,選擇的鍛晶不會消耗，仍然存在於背包內。但若將其移出背包，將變回未裝備狀態。,,,,,,,,,,选择的锻晶不会消耗，仍然存在于背包内。但若将其移出背包，将变回未装备状态。
,,,,,,,,,,,,,,,,,,,
,,,,,,-,passive,base_guard_power,500*SLv,,,,,,,,,,
,,,,,,,,base_guard_regenerate,5+2*SLv,,,,,,,,,,
,,,,,,,,evasion_count,"[2,2,3,3,4,4,4,5,5,6][SLv-1]",,,,,,,,,,
,,,,,,,,base_evasion_regenerate,0.01*SLv,,,,,,,,,,
,,,,,,-,extra,caption,令「使用非徒手技能樹的技能時，損耗((當前氣功*20%))」的負面效果，減輕![5%]。,,,,,,,,,,令「使用非徒手技能树的技能时，损耗((当前气功*20%))」的负面效果，减轻![5%]。
,,,,,,-,list,text,所以當點滿此技能與!S[聚氣功．極]之後，使用非徒手技能只會損耗5%氣功。,,,,,,,,,,所以当点满此技能与!S[聚气功．极]之后，使用非徒手技能只会损耗5%气功。
,,,,,,-,tips,text,氣功損耗減輕的效果，僅有LV10之數據。,,,,,,,,,,气功损耗减轻的效果，仅有LV10之数据。
5,1,忍者技能,,,,,,,,,,,,,,,,,
0,忍術,預設,,,,-,text,text,此技能分為主動釋放的忍術、與被動效果兩部分。,,100 ,12 ,須詠唱,無法放入連擊,,"2.75-Math.min(5,SLv)/4-Math.max(0,SLv-5)/5",,,此技能分为主动释放的忍术、与被动效果两部分。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,passive,caption,令角色可以使用![卷軸]技能，並獲得製作![卷軸]的能力。,,,,,,,,,,令角色可以使用![卷轴]技能，并获得制作![卷轴]的能力。
,,,,,,-,list,text,![卷軸]中的技能，將適用此技能等級。,,,,,,,,,,![卷轴]中的技能，将适用此技能等级。
,,,,,,-,list,text,![製作卷軸]需從EX技能進入介面，選取三類不同種類的武器後，將生成卷軸。,,,,,,,,,,![制作卷轴]需从EX技能进入介面，选取三类不同种类的武器后，将生成卷轴。
,,,,,,-,list,text,若只為了製作卷軸，此技能的技能等級只需1級即可。,,,,,,,,,,若只为了制作卷轴，此技能的技能等级只需1级即可。
,,,,,,,,,,,,,,,,,,,
,,,,,,-,list,text,建議參考#[卷軸製作說明]。,,,,,,,,,,建议参考#[卷轴制作说明]。
,,,,,,-,effect,name,(主動效果)忍術,,,,,,,,,,(主动效果)忍术
,,,,,,,,caption,施展![忍術表]中的隨機一種#[忍術技能]。,,,,,,,,,,施展![忍术表]中的随机一种#[忍术技能]。
,,,,,,-,list,text,技能的實際射程，為被發動的技能之原始射程限制，與本技能的12m射程限制中，取距離較短者。<br>若技能可強化且滿足條件，會自動發動強化版。,,,,,,,,,,技能的实际射程，为被发动的技能之原始射程限制，与本技能的12m射程限制中，取距离较短者。 <br>若技能可强化且满足条件，会自动发动强化版。
,,,,,,-,list,text,詠唱時間不受CSPD影響、無法被卷軸屬性縮短。,,,,,,,,,,咏唱时间不受CSPD影响、无法被卷轴属性缩短。
,,,,,,-,list,text,忍術技能效果請參閱「其他」分類下的![忍術表]。,,,,,,,,,,忍术技能效果请参阅「其他」分类下的![忍术表]。
1,忍道,預設,,,,-,passive,dodge,SLv,,,,被動,,,,,,
,,,,,,,,aggro,-0,,,,,,,,,,
,,,,,,-,extra,condition,此技能等級10時,,,,,,,,,,此技能等级10时
,,,,,,,,caption,裝備忍術卷軸，將不會使!S[雙手合持]失效。,,,,,,,,,,装备忍术卷轴，将不会使!S[双手合持]失效。
,,,,,,-,tips,text,仇恨降低量未知。,,,,,,,,,,仇恨降低量未知。
2,忍術鍛鍊Ⅰ,預設,,,,-,passive,caption,強化忍術技能。,,,,被動,,,,,,强化忍术技能。
,,,,,,-,list,text,具體強化效果參閱各#[忍術技能]的技能頁面。,,,,,,,,,,具体强化效果参阅各#[忍术技能]的技能页面。
,,,,,,-,list,text,忍術鍛鍊I、II的強化幅度完全相同，強化效果皆是以兩技能合計等級作計算。,,,,,,,,,,忍术锻炼I、II的强化幅度完全相同，强化效果皆是以两技能合计等级作计算。
3,忍術鍛鍊Ⅱ,預設,,,,-,passive,caption,強化忍術技能。,,,,被動,,,,,,强化忍术技能。
,,,,,,-,list,text,具體強化效果參閱各#[忍術技能]的技能頁面。,,,,,,,,,,具体强化效果参阅各#[忍术技能]的技能页面。
,,,,,,-,list,text,忍術鍛鍊I、II的強化幅度完全相同，強化效果皆是以兩技能合計等級作計算。,,,,,,,,,,忍术锻炼I、II的强化幅度完全相同，强化效果皆是以两技能合计等级作计算。
6,1,游擊隊技能,,,,,,,,,,,,,,,,,
0,L迴旋鏢,預設,雙手劍,,,-,text,text,向目標丟擲迴旋鏢I，對鎖定目標造成傷害。迴旋鏢在到達最大射程後會返回，若鎖定目標在其返回路徑上，則會再次受到傷害。,,200 ,10 ,瞬發,可以放入連擊,快,,,,向目标丢掷回旋镖I，对锁定目标造成伤害。回旋镖在到达最大射程后会返回，若锁定目标在其返回路径上，则会再次受到伤害。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,,,mark,迴旋鏢I,,,,,,,,,,
,,,,,,-,list,text,習得後，角色會常駐迴旋鏢狀態，發動任意迴旋鏢技能時會使狀態暫時消失，期間再使用任意迴旋鏢技能將無法攻擊。,,,,,,,,,,
,,,,,,,,mark,"迴旋鏢技能,迴旋鏢",,,,,,,,,,
,,,,,,-,list,text,習得L迴旋鏢II、L迴旋鏢III時，提升本技能傷害。,,,,,,,,,,
,,,,,,,,skill,"L迴旋鏢III,L迴旋鏢II",,,,,,,,,,
,,,,,,-,stack,name,L迴旋鏢II技能等級,,,,,,,,,,
,,,,,,,,min,0,,,,,,,,,,
,,,,,,,,max,10,,,,,,,,,,
,,,,,,,,default,10,,,,,,,,,,
,,,,,,,,id,0,,,,,,,,,,
,,,,,,,,value,getSkillLevel('4-6-1'),,,,,,,,,,
,,,,,,-,stack,name,L迴旋鏢III技能等級,,,,,,,,,,
,,,,,,,,min,0,,,,,,,,,,
,,,,,,,,max,10,,,,,,,,,,
,,,,,,,,default,10,,,,,,,,,,
,,,,,,,,id,1,,,,,,,,,,
,,,,,,,,value,getSkillLevel('4-6-2'),,,,,,,,,,
,,,,,,-,proration,damage,normal_attack,,,,,,,,,,
,,,,,,-,damage,name,迴旋鏢I,,,,,,,,,,
,,,,,,,,constant,200,,,,,,,,,,
,,,,,,,,multiplier,"250+25*SLv+Math.min(stack[0],1)*250+stack[0]*25+Math.min(stack[1],1)*250+stack[1]*25+$BDEX",,,,,,,,,,
,,,,,,,,stack_id,"0,1",,,,,,,,,,
,,,,,,,,range_damage,0,,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,-,list,text,迴旋鏢I最大飛行距離為10m，撞到牆壁會消失不返回。,,,,,,,,,,
,,,,,,-,list,text,迴旋鏢I若有返回自身，回復100MP。,,,,,,,,,,
1,L迴旋鏢II,預設,雙手劍,,,-,text,text,後退5m的同時向目標丟擲迴旋鏢II，對鎖定目標造成傷害。迴旋鏢在到達最大射程後會返回，若鎖定目標在其返回路徑上，則會再次受到傷害。,,100 ,24 ,瞬發,可以放入連擊,快,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,,,mark,"迴旋鏢II,迴旋鏢",,,,,,,,,,
,,,,,,-,list,text,習得後，角色會常駐迴旋鏢狀態，發動任意迴旋鏢技能時會使狀態暫時消失，期間再使用任意迴旋鏢技能將無法攻擊。,,,,,,,,,,
,,,,,,,,mark,"迴旋鏢技能,迴旋鏢",,,,,,,,,,
,,,,,,-,list,text,習得L迴旋鏢、L迴旋鏢III時，提升本技能傷害。,,,,,,,,,,
,,,,,,,,skill,"L迴旋鏢III,L迴旋鏢",,,,,,,,,,
,,,,,,-,stack,name,L迴旋鏢技能等級,,,,,,,,,,
,,,,,,,,min,5,,,,,,,,,,
,,,,,,,,max,10,,,,,,,,,,
,,,,,,,,default,10,,,,,,,,,,
,,,,,,,,id,0,,,,,,,,,,
,,,,,,,,value,getSkillLevel('4-6-0'),,,,,,,,,,
,,,,,,-,stack,name,L迴旋鏢III技能等級,,,,,,,,,,
,,,,,,,,min,0,,,,,,,,,,
,,,,,,,,max,10,,,,,,,,,,
,,,,,,,,default,10,,,,,,,,,,
,,,,,,,,id,1,,,,,,,,,,
,,,,,,,,value,getSkillLevel('4-6-2'),,,,,,,,,,
,,,,,,-,proration,damage,normal_attack,,,,,,,,,,
,,,,,,-,damage,name,迴旋鏢II,,,,,,,,,,
,,,,,,,,constant,100,,,,,,,,,,
,,,,,,,,multiplier,"(250+25*SLv+Math.min(stack[0],1)*250+stack[0]*25+Math.min(stack[1],1)*250+stack[1]*25)/2+$BDEX*0.5",,,,,,,,,,
,,,,,,,,stack_id,"0,1",,,,,,,,,,
,,,,,,,,range_damage,0,,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,-,list,text,迴旋鏢II最大飛行距離為12m（後退結束後的位置起算），撞到牆壁會消失。,,,,,,,,,,
,,,,,,-,list,text,迴旋鏢II可以鎖定遠達24m的目標，但飛行距離僅12m，距離過遠會落空；目標不移動前提下，起跳時距離目標需小於等於7m才能造成傷害。,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,L迴旋鏢III,預設,雙手劍,,,-,text,text,向目標丟擲迴旋鏢III，對鎖定目標造成傷害。迴旋鏢在到達最大射程後會返回，若鎖定目標在其返回路徑上，則會再次受到傷害。,,400 ,10 ,瞬發,可以放入連擊,快,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,,,mark,"迴旋鏢III,迴旋鏢",,,,,,,,,,
,,,,,,-,list,text,習得後，角色會常駐迴旋鏢狀態，發動任意迴旋鏢技能時會使狀態暫時消失，期間再使用任意迴旋鏢技能將無法攻擊。,,,,,,,,,,
,,,,,,,,mark,"迴旋鏢技能,迴旋鏢",,,,,,,,,,
,,,,,,-,list,text,習得L迴旋鏢、L迴旋鏢II時，提升本技能傷害。,,,,,,,,,,
,,,,,,,,skill,"L迴旋鏢II,L迴旋鏢",,,,,,,,,,
,,,,,,-,stack,name,L迴旋鏢技能等級,,,,,,,,,,
,,,,,,,,min,5,,,,,,,,,,
,,,,,,,,max,10,,,,,,,,,,
,,,,,,,,default,10,,,,,,,,,,
,,,,,,,,id,0,,,,,,,,,,
,,,,,,,,value,getSkillLevel('4-6-0'),,,,,,,,,,
,,,,,,-,stack,name,L迴旋鏢II技能等級,,,,,,,,,,
,,,,,,,,min,0,,,,,,,,,,
,,,,,,,,max,10,,,,,,,,,,
,,,,,,,,default,10,,,,,,,,,,
,,,,,,,,id,1,,,,,,,,,,
,,,,,,,,value,getSkillLevel('4-6-1'),,,,,,,,,,
,,,,,,-,proration,damage,normal_attack,,,,,,,,,,
,,,,,,-,damage,name,迴旋鏢III,,,,,,,,,,
,,,,,,,,constant,400,,,,,,,,,,
,,,,,,,,multiplier,"250+25*SLv+Math.min(stack[0],1)*250+stack[0]*25+Math.min(stack[1],1)*250+stack[1]*25+$BDEX",,,,,,,,,,
,,,,,,,,stack_id,"0,1",,,,,,,,,,
,,,,,,,,range_damage,0,,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,-,extra,physical_pierce,5*SLv,,,,,,,,,,
,,,,,,-,extra,critical_rate,10*SLv,,,,,,,,,,
,,,,,,-,list,text,迴旋鏢III最大飛行距離為10m、會追蹤目標、撞到牆壁不會消失。,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3,N龍牙擊,預設,旋風槍,,,-,text,text,對目標施展尼諾式龍牙擊，如同通常的龍牙擊一般躍向目標造成兩次傷害後，返回原先位置。,,500 ,main,瞬發,,一般,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,,,mark,尼諾式龍牙擊,,,,,,,,,,
,,,,,,,,skill,龍牙擊,,,,,,,,,,
,,,,,,-,tips,text,與原版龍牙擊不同的是，此技能射程跟隨武器(即通常為3.5m)。,,,,,,,,,,
,,,,,,-,list,text,習得龍牙擊後可提高此技能威力。,,,,,,,,,,
,,,,,,,,skill,龍牙擊,,,,,,,,,,
,,,,,,-,stack,name,龍牙擊技能等級,,,,,,,,,,
,,,,,,,,min,0,,,,,,,,,,
,,,,,,,,max,10,,,,,,,,,,
,,,,,,,,default,10,,,,,,,,,,
,,,,,,,,id,0,,,,,,,,,,
,,,,,,,,value,getSkillLevel('0-5-4'),,,,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,,,,
,,,,,,-,damage,name,尼諾式龍牙擊（第一擊）,,,,,,,,,,
,,,,,,,,constant,0,,,,,,,,,,
,,,,,,,,multiplier,75*SLv,,,,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,,,,
,,,,,,-,extra,physical_pierce,10*SLv,,,,,,,,,,
,,,,,,-,damage,name,尼諾式龍牙擊（第二擊）,,,,,,,,,,
,,,,,,,,constant,0,,,,,,,,,,
,,,,,,,,multiplier,75*stack,,,,,,,,,,
,,,,,,,,stack_id,0,,,,,,,,,,
,,,,,,-,extra,physical_pierce,10*SLv,,,,,,,,,,
,,,,,,-,next,condition,下一個攻擊技能,,,,,,,,,,
,,,,,,,,physical_pierce,2*SLv,,,,,,,,,,
,,,,,,-,tips,text,非攻擊技能不會消耗掉狀態。,,,,,,,,,,
4,療傷射擊,預設,弓,,,-,text,text,消耗自身${25-2*SLv}%HP（最低消耗100），向16m內且距離最遠的隊友發射直線方向的!B[回復箭]。,,0 ,-,瞬發,不可放入連擊的第一招,快,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,list,text,回復箭為範圍效果，箭射程上的所有隊友均可獲得增益，有效範圍為：以自身為中心畫半徑2m的圓，然後向目標方向延伸至16m距離。,,,,,,,,,,
,,,,,,1,heal,name,回復箭,,,,,,,,,,
,,,,,,,,type,hp,,,,,,,,,,
,,,,,,,,duration,10,,,,,,,,,,
,,,,,,,,cycle,2,,,,,,,,,,
,,,,,,,,frequency,5,,,,,,,,,,
,,,,,,,,constant,50*SLv,,,,,,,,,,
,,,,,,,,extra_text,受影響目標的最大HP,,,,,,,,,,
,,,,,,,,extra_value,0.01*Math.floor((SLv+2)/3),,,,,,,,,,
,,,,,,-,list,text,（未確認）對於傭兵、寵物，此技能無法給予持續回復狀態，僅能造成單次回復。,,,,,,,,,,
4,,非預設,弩,,,1,heal,duration,5,,,,,,,,,,
,,,,,,,,cycle,1,,,,,,,,,,
5,磨箭,預設,弓,,,-,text,text,強化下![1]次的一般攻擊。,,100 ,,瞬發,可以放入連擊,快,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,effect,name,磨箭,,,,,,,,,,
,,,,,,,,condition,下一次一般攻擊,,,,,,,,,,
,,,,,,,,physical_pierce,"Math.max(SLv,$BSTR*0.02*SLv)",,,,,,,,,,
,,,,,,,,critical_damage,"Math.max(SLv,$BDEX*0.04*SLv)",%,,,,,,,,,
,,,,,,,,motion_speed,"Math.max(SLv,$BAGI*0.01*SLv)",%,,,,,,,,,
,,,,,,,,action_frame,35~35,,,,,,,,,,
,,,,,,-,reference,url_text,Phantom Library測試,,,,,,,,,,
,,,,,,,,url,https://docs.google.com/document/d/12NxC3bVWFotQh7XZgtqBRFo87SQzNtE--UvyQxMJoLc,,,,,,,,,,
5,,非預設,弩,,,,,,,,,,,,,,,,
6,生存本能,預設,弓,,,-,text,text,隊伍中有成員死亡時，自身發動![生存本能]效果。,,,,被動,,,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,list,text,玩家與寵物可發動此技能，但傭兵不行。,,,,,,,,,,
,,,,,,-,effect,condition,當隊伍成員體力耗盡倒地時,,,,,,,,,,
,,,,,,,,duration,20,,,,,,,,,,
,,,,,,,,max_hp,500*SLv,,,,,,,,,,
,,,,,,,,max_hp,SLv,%,,,,,,,,,
,,,,,,-,extra,condition,獲得狀態時,,,,,,,,,,
,,,,,,,,caption,回復與HP上限提升量相同的HP,,,,,,,,,,
,,,,,,-,extra,condition,受到百分比傷害時,,,,,,,,,,
,,,,,,,,caption,減輕${Math.floor(2.5*SLv)}%傷害。,,,,,,,,,,
,,,,,,-,list,text,諸如無悔殺意、變時神術等特殊的死亡方式將無法觸發此技能效果。,,,,,,,,,,
6,,非預設,弩,,,,,,,,,,,,,,,,
7,前線維持,預設,,,,-,text,text,發動後獲得!B[前線維持]狀態，對目標造成仇恨同時提升恨意值%。,,100 ,,瞬發,可以放入連擊,快,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,stack,name,除自身外，未被鎖定的隊員人數,,,,,,,,,,
,,,,,,,,id,1,,,,,,,,,,
,,,,,,,,min,0,,,,,,,,,,
,,,,,,,,max,3,,,,,,,,,,
,,,,,,,,default,3,,,,,,,,,,
,,,,,,-,tips,text,傭兵、寵物、NPC不計入人數。,,,,,,,,,,
,,,,,,-,effect,name,前線維持,,,,,,,,,,
,,,,,,,,duration,60,,,,,,,,,,
,,,,,,,,physical_barrier,100*SLv*stack,,,,,,,,,,
,,,,,,,,stack_id,1,,,,,,,,,,
,,,,,,,,aggro,2*SLv,,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,-,extra,caption,對所有敵人額外造成大約${100+15*SLv}的固定仇恨值。,,,,,,,,,,
,,,,,,-,list,text,重複施放此技能時，需等待屏障冷卻時間經過，才能重新獲得屏障值。,,,,,,,,,,
,,,,,,-,list,text,此技能仇恨判定屬於群體BUFF型，對於尚未造成初次仇恨的目標亦能建立仇恨。,,,,,,,,,,
8,前線維持II,預設,,,,-,passive,max_hp,10*(SLv*10+CLv),,,,被動,,,,,,
,,,,,,-,extra,caption,使前線維持發動時，同時獲得魔法屏障，屏障數值與物理屏障相同。,,,,,,,,,,
,,,,,,-,tips,text,此技能數據與角色等級有關，注意調整下方選項內的角色等級以得到正確數值。,,,,,,,,,,
7,1,死靈法術,,,,,,,,,,,,,,,,,
0,掘墓人,預設,法杖,,,-,text,text,在自身當前位置上放置半徑3m的墓地，處於墓地內可累計死靈疊加。,,100 ,,瞬發,可以放入連擊,,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,,,mark,"墓地,死靈疊加",,,,,,,,,,
,,,,,,-,stack,id,1,,,,,,,,,,
,,,,,,,,min,1,,,,,,,,,,
,,,,,,,,max,99,,,,,,,,,,
,,,,,,,,name,死靈疊加,,,,,,,,,,
,,,,,,,,default,1,,,,,,,,,,
,,,,,,1,effect,name,墓地,,,,,,,,,,
,,,,,,,,is_place,1,,,,,,,,,,
,,,,,,,,type,self,,,,,,,,,,
,,,,,,,,condition,在墓地範圍內時,,,,,,,,,,
,,,,,,,,attack_mp_recovery,(SLv/10)*stack,%,,,,,,,,,
,,,,,,,,stack_id,1,,,,,,,,,,
,,,,,,,,ailment_resistance,(SLv/20)*stack,,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,-,extra,condition,在墓地範圍內時,,,,,,,,,,
,,,,,,,,caption,每${1}秒累積一層死靈疊加。,,,,,,,,,,
,,,,,,-,extra,condition,離開墓地範圍時,,,,,,,,,,
,,,,,,,,caption,每${20}秒損失一層死靈疊加。,,,,,,,,,,
,,,,,,-,list,text,墓地範圍可被優質產具技能擴大，不過顯示的特效大小不會變。,,,,,,,,,,
,,,,,,,,skill,優質產具,,,,,,,,,,
,,,,,,-,list,text,此技能的異常抗性與通常的異常抗性不疊加，分開判定。,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0,,非預設,,,,1,effect,caption,每${11-SLv}秒累積一層死靈疊加。,,,,,,,,,,
,,,,,,,,ailment_resistance,,,,,,,,,,,
,,,,,,,,attack_mp_recovery,,%,,,,,,,,,
1,幻靈飛彈,預設,法杖,,,-,text,text,消耗死靈疊加(最多10層)發射幻靈飛彈，死靈疊加消耗越多則發射次數越多，且每發飛彈暴擊時，後續飛彈的傷害會提升。,,500 ,12 ,須詠唱,可以放入連擊,,0.5,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,,,mark,"死靈疊加,幻靈飛彈",,,,,,,,,,
,,,,,,-,stack,id,0,,,,,,,,,,
,,,,,,,,min,1,,,,,,,,,,
,,,,,,,,max,10,,,,,,,,,,
,,,,,,,,name,消耗死靈疊加,,,,,,,,,,
,,,,,,,,default,10,,,,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,,,,
,,,,,,-,damage,constant,500,,,,,,,,,,
,,,,,,,,multiplier,100,,,,,,,,,,
,,,,,,,,stack_id,0,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,title,each,,,,,,,,,,
,,,,,,,,judgment,separate,,,,,,,,,,
,,,,,,,,frequency,stack,,,,,,,,,,
,,,,,,,,cycle,1,,,,,,,,,,
,,,,,,,,duration,stack-1,,,,,,,,,,
,,,,,,,,is_place,1,,,,,,,,,,
,,,,,,,,range_damage,0,,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,-,damage_stat,id,magic_crt,,,,,,,,,,
,,,,,,,,override_id,critical_rate,,,,,,,,,,
,,,,,,-,extra,caption,暴擊後下一次倍率提升${SLv*10}，故滿級全暴擊總倍率為5500。,,,,,,,,,,
,,,,,,-,list,text,此技能為魔法傷害，使用魔法暴擊傷害、魔法穩定，唯暴擊率依物理暴擊率計算。,,,,,,,,,,
,,,,,,,,mark,物理暴擊率,,,,,,,,,,
2,盜血,預設,法杖,,,-,effect,name,盜血,,400 ,main,瞬發,可以放入連擊,,,,,
,,,,,,,,duration,12*SLv,,,,,,,,,,
,,,,,,,,ailment_name,膽怯,,,,,,,,,,
,,,,,,,,ailment_chance,20*($BVIT/50),,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,,,type,target,,,,,,,,,,
,,,,,,,,end_condition,直到技能時間結束或目標死亡,,,,,,,,,,
,,,,,,,,caption,自身對目標造成的所有傷害都會獲得吸血效果，但也會將敵人的狀態異常一同吸收。,,,,,,,,,,
,,,,,,-,extra,caption,吸血量為傷害值的10%。,,,,,,,,,,
,,,,,,-,extra,caption,有((20*FLOOR[基礎VIT/50])的機率附加#[膽怯]。,,,,,,,,,,
,,,,,,-,extra,caption,異常狀態吸收機率為?%。,,,,,,,,,,
,,,,,,-,list,text,施放後與目標之間會有紅線連接作為提示。,,,,,,,,,,
,,,,,,-,list,text,若與目標距離大於等於8m時，狀態剩餘時間會立即除以10，不過若再回到8m內，則剩餘時間又會乘以10回去。,,,,,,,,,,
,,,,,,-,list,text,「吸收敵人的狀態異常」似乎是指使用帶有異常的技能攻擊敵人時，會使附加的異常轉到自身。,,,,,,,,,,
,,,,,,-,tips,text,惡魔的攻擊無法吸血。,,,,,,,,,,
3,靈力流彈,預設,法杖,,,-,text,text,發射靈力流彈，依據當前MP量，可以消耗相應的死靈疊加來強化技能威力與MP回復量。,,900 ,12 ,須詠唱,可以放入連擊,,1.5,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,list,text,此技能最多可消耗(([自身最大MP-自身當前MP]÷100))的死靈疊加，在此技能消費MP之後計算。,,,,,,,,,,
,,,,,,-,stack,id,0,,,,,,,,,,
,,,,,,,,min,1,,,,,,,,,,
,,,,,,,,max,20,,,,,,,,,,
,,,,,,,,name,消耗死靈疊加,,,,,,,,,,
,,,,,,,,default,14,,,,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,,,,
,,,,,,-,damage,constant,450+SLv*45,,,,,,,,,,
,,,,,,,,multiplier,75*stack+SLv*100+$BINT,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,stack_id,0,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,,,,,,,,,,,
,,,,,,,,ailment_name,乏力,,,,,,,,,,
,,,,,,,,ailment_chance,"Math.min(10*stack,100)",,,,,,,,,,
,,,,,,-,extra,caption,回復${stack*100}MP,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,-,list,text,此技能回復之MP無法修補!S[法術結界]的耐久度。,,,,,,,,,,
,,,,,,-,list,text,技能還在測試中，部分公式尚為預測、有誤差。,,,,,,,,,,
4,骸骨召喚,預設,,,,-,text,text,消耗3死靈疊加召喚骷髏士兵(同時最多存在3隻)，骷髏進行近距離攻擊，受到範圍傷害後爆炸消失。,,0 ,-,瞬發,不可放入連擊的第一招,一般,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,,,mark,"死靈疊加,骷髏",,,,,,,,,,
,,,,,,-,damage,name,近戰攻擊,,,,,,,,,,
,,,,,,,,damage_type,physical,,,,,,,,,,
,,,,,,,,constant,0,,,,,,,,,,
,,,,,,,,multiplier,10*SLv,,,,,,,,,,
,,,,,,,,range_damage,short,,,,,,,,,,
,,,,,,,,combo_rate,none,,,,,,,,,,
,,,,,,,,element,against,,,,,,,,,,
,,,,,,-,base,type,both,,,,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,,,,
,,,,,,,,proration,none,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,-,damage,name,自爆,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,constant,$STR+$INT,,,,,,,,,,
,,,,,,,,multiplier,100*SLv,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,radius,1+Math.floor((SLv-1)/3)*0.5,,,,,,,,,,
,,,,,,,,end_position,self,,,,,,,,,,
,,,,,,,,element,against,,,,,,,,,,
,,,,,,,,range_damage,short,,,,,,,,,,
,,,,,,,,combo_rate,none,,,,,,,,,,
,,,,,,-,proration,damage,normal_attack,,,,,,,,,,
,,,,,,-,base,type,both,,,,,,,,,,
,,,,,,-,list,text,召喚的骷髏會從掘墓人的墓地中心位置生成；若與玩家距離超過5m，會向玩家移動；若距離超過20m，會瞬移至玩家身邊。,,,,,,,,,,
,,,,,,,,skill,掘墓人,,,,,,,,,,
,,,,,,-,list,text,此技能不適用連擊加成，但可以正常適用無之架勢。,,,,,,,,,,
,,,,,,-,list,text,由[收穫]召喚而來的骷髏取決於場上骷髏類型，若使用無之架勢召喚，則皆適用無之架勢。若場上無骷髏，則默認適用無之架勢。,,,,,,,,,,
,,,,,,,,mark,收穫、無之架勢,,,,,,,,,,
