名稱,外框,文字,名稱（英文）,文字,名稱(日文),文字,名稱（簡體中文）,文字
,,魔法暴擊傷害：公式為((100+(物理暴擊傷害-100)×法術暴傷轉化率))%。,,,,,,魔法暴击伤害：公式为((100+(物理暴击伤害-100)×法术暴伤转化率))%。
,,不同來源的((!暴擊轉化率))、((!暴傷轉化率))可以疊加，但上限為100%。,,,,,,不同来源的((!暴击转化率))、((!暴伤转化率))可以叠加，但上限为100%。
法術額外屬性傷害/剋屬傷害,category,名詞說明,,,,,,名词说明
,caption,2022/03/23更新後，當使用((!傷害類型為魔法))的攻擊時，可在原先的25%對屬傷害提升的基礎上，獲得額外的((!對屬性傷害))。,,,,,,2022/03/23更新后，当使用((!伤害类型为魔法))的攻击时，可在原先的25%对属伤害提升的基础上，获得额外的((!对属性伤害))。
,list,提升的對屬性強化的數值為：((角色基礎INT÷10))，與通常的「對X屬性傷害」的數值為疊加。,,,,,,提升的对属性强化的数值为：((角色基础INT÷10))，与通常的「对X属性伤害」的数值为叠加。
,,當主手為((!法杖))或((!魔導具))時，此規則變更為只要攻擊帶有((!無屬性以外))的元素屬性，便可無視克制關係，獲得對所有屬性的額外對屬性傷害強化（包括對無屬性）。,,,,,,当主手为((!法杖))或((!魔导具))时，此规则变更为只要攻击带有((!无属性以外))的元素属性，便可无视克制关系，获得对所有属性的额外对属性伤害强化（包括对无属性）。
,,,,,,,,
,,此外，僅當主手為((!法杖))時，若攻擊為((!無屬性))，則可獲得額外25%的#[法術暴擊轉化率]。,,,,,,此外，仅当主手为((!法杖))时，若攻击为((!无属性))，则可获得额外25%的#[法术暴击转化率]。
潛力容量,category,名詞說明,,,,,潜力容量,名词说明
,caption,潛力容量，決定了在強化裝備時，單條屬性可附的數值上下限。（此規則僅適用於角色等級200以下，已不適用於當前版本）,,,,,,潜力容量，决定了在强化装备时，单条属性可附的数值上下限。 （此规则仅适用于角色等级200以下，已不适用于当前版本）
,list,強化裝備時所付予的各項屬性皆有其各自上下限，例如ATK%最多僅能±10%、物理貫穿最多±5%…，上限與下限的絕對值相同。,,,,,,强化装备时所付予的各项属性皆有其各自上下限，例如ATK%最多仅能±10%、物理贯穿最多±5%…，上限与下限的绝对值相同。
,,屬性上限受到((!玩家等級))與((!潛力容量))共同影響，取較小者作為上限。,,,,,,属性上限受到((!玩家等级))与((!潜力容量))共同影响，取较小者作为上限。
,,((!玩家等級))部分，屬性的數值上限為：((角色等級/10))。,,,,,,((!玩家等级))部分，属性的数值上限为：((角色等级/10))。
,,((!潛力容量))部分，屬性的數值上限為：((潛力容量/該屬性原始消耗潛力)),,,,,,((!潜力容量))部分，属性的数值上限为：((潜力容量/该属性原始消耗潜力))
,,((!潛力容量))初始為10。((!強化裝備))、((!正確的強化))與((!大師級強化技術))技能皆會提高上限。,,,,,,((!潜力容量))初始为10。 ((!强化装备))、((!正确的强化))与((!大师级强化技术))技能皆会提高上限。
,,2020/05/28：等級達到((!210))後，此規則發生變動，部分屬性不再適用。,,,,,,2020/05/28：等级达到((!210))后，此规则发生变动，部分属性不再适用。
